id_paciente,nombre,rut,Edad,fecha_registro,id_medico,FamiliarPrimerGradoCC,FamiliarSegundoGradoCC,DiagnosticoPrevioCancer,Ejercicio,Alcohol,Mamografia,Menstruacion,PrimerHijo,riesgo,Edad_Original,Puntaje,Riesgo
132,Susanne,622493957,2.0,9/10/2025,1,1.0,0,1,0.0,1,1,,0,Moderado,51.0,77,2
141,Karie,160424868,,9/10/2025,1,1.0,0,1,1.0,1,1,,2,Bajo,,71,2
145,Benedikta,305609319,3.0,9/10/2025,1,1.0,0,0,2.0,3,0,,0,Bajo,64.0,57,2
146,Beulah,160597196,3.0,9/10/2025,1,0.0,1,1,3.0,1,0,,0,Alto,62.0,57,2
147,Katee,662595266,3.0,9/10/2025,1,0.0,1,0,,2,1,,2,Moderado,99.0,45,1
159,Ardeen,288919061,0.0,9/10/2025,1,1.0,0,1,1.0,0,0,,1,Moderado,36.0,69,2
166,Haleigh,808634788,0.0,9/10/2025,1,0.0,1,0,3.0,2,1,,1,Moderado,29.0,12,0
168,Yovonnda,972193689,0.0,9/10/2025,1,1.0,0,0,0.0,0,1,,2,Moderado,18.0,41,1
171,Latisha,684163286,3.0,9/10/2025,1,0.0,1,0,3.0,1,0,,2,Bajo,70.0,35,1
173,Jacklyn,470209530,3.0,9/10/2025,1,1.0,1,1,1.0,1,1,,2,Moderado,69.0,95,2
180,Philomena,493576660,3.0,9/10/2025,1,0.0,0,1,0.0,1,1,,2,Moderado,65.0,68,2
185,Kathrine,995392698,3.0,9/10/2025,1,1.0,0,0,0.0,2,0,,0,Bajo,61.0,61,2
186,Lynn,695417060,2.0,9/10/2025,1,0.0,1,1,0.0,1,0,,1,Moderado,50.0,64,2
192,Jesse,797351823,1.0,9/10/2025,1,1.0,1,0,1.0,0,1,,2,Alto,49.0,48,1
193,Tabina,643162604,0.0,9/10/2025,1,0.0,1,1,0.0,2,1,,1,Alto,33.0,52,2
195,Rozina,546419430,0.0,9/10/2025,1,0.0,0,1,1.0,0,0,,2,Moderado,27.0,47,1
199,Christy,286780774,2.0,9/10/2025,1,1.0,0,1,3.0,1,1,,1,Alto,56.0,72,2
202,Mattie,619571566,0.0,9/10/2025,1,1.0,0,0,0.0,2,0,,1,Bajo,32.0,46,1
203,Doloritas,285070465,3.0,9/10/2025,1,1.0,1,0,3.0,1,0,,1,Alto,62.0,57,2
204,Katheryn,362442780,1.0,9/10/2025,1,0.0,1,1,2.0,2,0,,2,Alto,40.0,56,2
212,Ginni,409963499,1.0,9/10/2025,1,0.0,0,1,3.0,0,0,,2,Alto,46.0,44,1
213,Brynne,766741439,3.0,9/10/2025,1,1.0,1,0,0.0,1,1,,0,Bajo,71.0,59,2
219,Blondelle,838384332,3.0,9/10/2025,1,1.0,1,1,1.0,1,1,,0,Bajo,81.0,87,2
221,Sylvia,974653651,0.0,9/10/2025,1,0.0,0,1,3.0,3,1,,1,Bajo,19.0,41,1
225,Millisent,752947089,2.0,9/10/2025,1,1.0,0,0,,1,0,,1,Bajo,50.0,55,2
226,Cherice,267049953,2.0,9/10/2025,1,1.0,1,0,1.0,2,1,,1,Alto,58.0,57,2
232,Shannah,100344672,0.0,9/10/2025,1,1.0,1,0,2.0,3,0,,1,Bajo,32.0,46,1
234,Gretna,612151453,3.0,9/10/2025,1,0.0,1,0,2.0,3,1,,0,Alto,64.0,33,1
236,Alayne,202560098,,9/10/2025,1,0.0,1,1,1.0,0,1,,1,Bajo,,45,1
243,Honoria,441233798,0.0,9/10/2025,1,1.0,1,0,1.0,3,1,,2,Moderado,35.0,51,2
244,Morissa,107332633,2.0,9/10/2025,1,0.0,0,0,1.0,1,0,,1,Moderado,58.0,28,1
247,Zarla,836288834,3.0,9/10/2025,1,1.0,0,0,2.0,3,1,,1,Alto,64.0,59,2
248,Joceline,346660664,0.0,9/10/2025,1,1.0,0,1,2.0,0,1,,1,Bajo,37.0,61,2
251,Judy,338965507,3.0,9/10/2025,1,1.0,0,0,2.0,2,0,,1,Moderado,100.0,59,2
252,Laurena,679350526,0.0,9/10/2025,1,1.0,0,1,0.0,3,0,,1,Moderado,27.0,79,2
255,Peggie,420449595,3.0,9/10/2025,1,1.0,0,0,2.0,1,1,,2,Alto,70.0,56,2
257,Arlana,415899022,2.0,9/10/2025,1,0.0,0,1,3.0,2,0,,1,Alto,54.0,53,2
259,Brett,837686047,1.0,9/10/2025,1,1.0,1,0,1.0,2,1,,2,Bajo,49.0,53,2
266,Delila,562865816,0.0,9/10/2025,1,0.0,0,0,3.0,1,0,,0,Moderado,18.0,3,0
269,Shana,446543387,0.0,9/10/2025,1,1.0,1,1,0.0,1,1,,2,Bajo,32.0,77,2
280,Shayne,335176470,3.0,9/10/2025,1,1.0,1,0,0.0,1,1,,0,Moderado,83.0,59,2
281,Daphna,514629496,1.0,9/10/2025,1,0.0,1,1,2.0,1,1,,2,Bajo,46.0,50,2
284,Klara,746216589,3.0,9/10/2025,1,1.0,0,0,2.0,1,0,,0,Moderado,69.0,51,2
298,Doralynn,988410663,3.0,9/10/2025,1,0.0,0,1,0.0,0,0,,0,Alto,69.0,61,2
303,Beitris,141624733,0.0,9/10/2025,1,1.0,0,1,2.0,2,1,,2,Moderado,21.0,69,2
311,Milzie,496039112,1.0,9/10/2025,1,0.0,0,1,,0,1,,1,Alto,45.0,48,1
316,Shandeigh,886390785,3.0,9/10/2025,1,1.0,0,0,1.0,0,1,,1,Alto,88.0,56,2
320,Drucy,662148788,3.0,9/10/2025,1,0.0,1,0,2.0,3,0,,2,Alto,64.0,44,1
322,Stacee,183618277,1.0,9/10/2025,1,0.0,1,0,2.0,0,1,,2,Bajo,48.0,18,0
323,Vale,930914268,,9/10/2025,1,1.0,0,0,2.0,3,1,,1,Moderado,,39,1
328,Stephie,576102055,3.0,9/10/2025,1,1.0,0,1,2.0,1,1,,2,Moderado,80.0,86,2
329,Brandie,979543659,2.0,9/10/2025,1,0.0,1,0,2.0,1,1,,2,Moderado,55.0,27,1
332,Kynthia,282173291,3.0,9/10/2025,1,1.0,1,1,2.0,1,1,,0,Alto,62.0,82,2
333,Madeline,550138139,3.0,9/10/2025,1,1.0,1,0,0.0,1,1,,0,Moderado,72.0,59,2
334,Theo,516390704,0.0,9/10/2025,1,1.0,0,1,0.0,1,1,,0,Moderado,24.0,65,2
336,Elwira,807315920,3.0,9/10/2025,1,1.0,0,1,0.0,1,1,,1,Moderado,63.0,90,2
339,Nicholle,667214368,0.0,9/10/2025,1,1.0,0,0,3.0,2,0,,2,Bajo,20.0,39,1
342,Chrysa,952859730,3.0,9/10/2025,1,1.0,1,0,0.0,0,0,,2,Moderado,63.0,68,2
344,Margret,986569878,3.0,9/10/2025,1,1.0,0,1,2.0,1,0,,1,Bajo,92.0,86,2
346,Lynna,965832344,3.0,9/10/2025,1,1.0,1,1,3.0,3,0,,2,Alto,61.0,96,2
351,Sonnnie,152927506,3.0,9/10/2025,1,1.0,0,0,0.0,1,0,,2,Moderado,84.0,66,2
353,Tomasine,410787400,0.0,9/10/2025,1,1.0,0,1,3.0,1,1,,1,Moderado,36.0,60,2
356,Karil,640147698,3.0,9/10/2025,1,,0,0,0.0,1,1,,0,Alto,69.0,30,1
357,Yasmin,583001791,0.0,9/10/2025,1,1.0,0,0,1.0,0,1,,1,Alto,20.0,36,1
364,Lisbeth,242556339,1.0,9/10/2025,1,1.0,1,0,2.0,1,1,,1,Bajo,41.0,42,1
369,Francyne,198032190,0.0,9/10/2025,1,1.0,1,1,1.0,1,0,,2,Bajo,35.0,78,2
370,Jere,654731612,2.0,9/10/2025,1,1.0,1,0,0.0,0,1,,1,Alto,54.0,54,2
372,Caye,149157136,0.0,9/10/2025,1,0.0,0,1,1.0,3,0,,0,Alto,23.0,47,1
373,Lucia,160882432,3.0,9/10/2025,1,0.0,1,0,,2,1,,0,Bajo,92.0,37,1
374,Teresita,778302554,3.0,9/10/2025,1,1.0,1,1,1.0,0,1,,0,Moderado,64.0,85,2
375,Angelita,714946549,2.0,9/10/2025,1,1.0,1,0,0.0,0,1,,1,Bajo,55.0,54,2
380,Ernesta,115596578,3.0,9/10/2025,1,0.0,0,0,3.0,0,0,,2,Alto,77.0,29,1
384,Cleo,323562990,3.0,9/10/2025,1,0.0,0,1,1.0,0,0,,0,Moderado,70.0,59,2
385,Georgette,256430831,,9/10/2025,1,0.0,0,1,3.0,2,1,,0,Moderado,,33,1
388,Donelle,490041263,,9/10/2025,1,1.0,0,1,1.0,1,1,,2,Moderado,,71,2
391,Josi,383931153,3.0,9/10/2025,1,1.0,0,1,0.0,2,0,,2,Bajo,98.0,99,2
392,Viva,880148433,0.0,9/10/2025,1,1.0,1,1,0.0,0,0,,0,Bajo,31.0,70,2
395,Hannie,624861751,3.0,9/10/2025,1,1.0,1,1,2.0,3,0,,1,Moderado,100.0,96,2
404,Ileana,110188288,3.0,9/10/2025,1,0.0,1,1,1.0,1,1,,1,Moderado,71.0,67,2
412,Gretel,862669667,,9/10/2025,1,0.0,0,0,2.0,3,0,,2,Alto,,20,1
414,Cristionna,202553729,3.0,9/10/2025,1,0.0,0,1,0.0,0,1,,1,Alto,71.0,63,2
417,Kirsten,152800342,,9/10/2025,1,1.0,0,1,2.0,2,0,,0,Moderado,,64,2
425,Antonietta,132354245,,9/10/2025,1,1.0,1,0,2.0,3,0,,0,Alto,,41,1
432,Esma,364148703,3.0,9/10/2025,1,1.0,1,0,0.0,0,1,,2,Bajo,63.0,65,2
434,Selestina,460039505,3.0,9/10/2025,1,1.0,1,0,0.0,2,0,,2,Bajo,69.0,73,2
445,Sissy,784098119,0.0,9/10/2025,1,1.0,0,1,0.0,0,0,,0,Bajo,25.0,66,2
453,April,904737504,3.0,9/10/2025,1,1.0,0,0,0.0,0,0,,0,Bajo,63.0,56,2
456,Augustine,506178579,0.0,9/10/2025,1,0.0,1,0,1.0,1,1,,1,Alto,19.0,17,0
464,Lois,380630241,0.0,9/10/2025,1,0.0,1,0,1.0,3,1,,2,Bajo,25.0,26,1
466,Danella,171178495,0.0,9/10/2025,1,1.0,0,1,2.0,0,1,,0,Alto,26.0,56,2
468,Dorine,202095253,3.0,9/10/2025,1,1.0,0,0,0.0,3,0,,1,Moderado,78.0,69,2
481,Carmina,250698803,3.0,9/10/2025,1,0.0,1,0,2.0,0,1,,1,Bajo,64.0,30,1
486,Odetta,768613050,0.0,9/10/2025,1,0.0,0,0,2.0,1,1,,2,Bajo,30.0,11,0
488,Marrissa,781877434,3.0,9/10/2025,1,0.0,0,0,2.0,0,0,,1,Moderado,67.0,29,1
490,Rebekah,985120045,3.0,9/10/2025,1,1.0,0,0,1.0,0,1,,2,Bajo,76.0,59,2
491,Gloria,196992584,0.0,9/10/2025,1,1.0,1,1,3.0,1,1,,1,Bajo,21.0,64,2
494,Rosina,723434379,3.0,9/10/2025,1,1.0,0,0,3.0,1,1,,1,Moderado,92.0,50,2
498,Rose,225441296,2.0,9/10/2025,1,0.0,0,1,2.0,2,0,,0,Moderado,56.0,51,2
501,Christi,303132225,2.0,9/10/2025,1,0.0,0,1,2.0,3,0,,2,Bajo,50.0,62,2
502,Mureil,535582718,3.0,9/10/2025,1,1.0,1,0,,1,0,,0,Alto,96.0,62,2
505,Grethel,552337342,1.0,9/10/2025,1,1.0,1,1,2.0,1,1,,2,Alto,47.0,75,2
507,Caitrin,694486455,3.0,9/10/2025,1,0.0,1,0,0.0,2,1,,2,Alto,64.0,45,1
511,Diana,271009240,3.0,9/10/2025,1,1.0,0,0,1.0,0,1,,2,Bajo,76.0,59,2
512,Kaja,398493763,3.0,9/10/2025,1,0.0,0,0,1.0,3,0,,2,Moderado,98.0,45,1
518,Karlotte,848435502,2.0,9/10/2025,1,1.0,0,0,,3,0,,0,Bajo,59.0,56,2
524,Pris,823946751,3.0,9/10/2025,1,0.0,1,0,1.0,3,1,,0,Moderado,83.0,38,1
528,Karlyn,129068207,3.0,9/10/2025,1,0.0,0,1,1.0,1,1,,1,Moderado,97.0,63,2
529,Ronnica,659739626,2.0,9/10/2025,1,0.0,0,1,0.0,2,1,,2,Alto,51.0,63,2
530,Cherey,709193559,3.0,9/10/2025,1,0.0,0,0,3.0,2,0,,1,Alto,78.0,31,1
531,Jessika,820968896,2.0,9/10/2025,1,1.0,0,0,3.0,0,0,,2,Moderado,53.0,46,1
532,Hermia,232375340,3.0,9/10/2025,1,1.0,1,1,2.0,3,1,,1,Alto,71.0,93,2
533,Gerrie,987766772,0.0,9/10/2025,1,1.0,1,0,0.0,1,0,,0,Moderado,26.0,42,1
536,Vanna,149279525,3.0,9/10/2025,1,1.0,1,0,3.0,2,0,,1,Alto,67.0,60,2
538,Tomi,802774683,1.0,9/10/2025,1,0.0,1,1,3.0,0,1,,0,Bajo,43.0,37,1
545,Lyssa,262228414,0.0,9/10/2025,1,0.0,1,1,0.0,0,0,,0,Alto,21.0,45,1
546,Klara,538847369,1.0,9/10/2025,1,1.0,0,0,1.0,2,0,,2,Moderado,40.0,52,2
547,Marcela,179280147,2.0,9/10/2025,1,0.0,0,1,3.0,1,1,,0,Bajo,57.0,42,1
548,Valma,675708297,3.0,9/10/2025,1,1.0,1,0,2.0,3,0,,2,Bajo,98.0,69,2
554,Jacynth,679369226,3.0,9/10/2025,1,0.0,0,1,,0,0,,1,Moderado,92.0,66,2
558,Libbey,756980511,3.0,9/10/2025,1,1.0,0,1,3.0,1,0,,2,Bajo,63.0,86,2
561,Misty,463052792,3.0,9/10/2025,1,1.0,0,0,1.0,0,0,,2,Alto,61.0,62,2
562,Ardelis,419084375,0.0,9/10/2025,1,1.0,1,0,2.0,2,1,,1,Alto,33.0,40,1
571,Carri,177429471,2.0,9/10/2025,1,1.0,1,1,1.0,2,0,,1,Alto,57.0,90,2
580,Octavia,265430195,0.0,9/10/2025,1,,0,1,1.0,0,0,,2,Bajo,32.0,47,1
581,Mersey,353762963,3.0,9/10/2025,1,1.0,0,1,0.0,1,0,,1,Alto,68.0,93,2
583,Nichole,978504370,3.0,9/10/2025,1,0.0,0,1,0.0,2,0,,2,Bajo,70.0,74,2
585,Penni,591898601,0.0,9/10/2025,1,1.0,0,1,2.0,3,0,,1,Bajo,38.0,72,2
589,Margalit,150853961,3.0,9/10/2025,1,0.0,0,0,0.0,1,0,,2,Moderado,82.0,41,1
596,Anett,183137600,3.0,9/10/2025,1,,1,1,,1,1,,0,Alto,87.0,64,2
599,Luella,235804363,1.0,9/10/2025,1,1.0,0,1,1.0,0,1,,2,Bajo,44.0,74,2
612,Cynthy,326812126,3.0,9/10/2025,1,1.0,1,0,0.0,1,1,,1,Alto,63.0,64,2
613,Trudi,872125587,3.0,9/10/2025,1,0.0,1,0,1.0,0,1,,1,Moderado,78.0,35,1
615,Jillie,429087452,3.0,9/10/2025,1,1.0,0,1,3.0,1,1,,1,Bajo,79.0,80,2
617,Celine,267566981,3.0,9/10/2025,1,0.0,0,1,0.0,0,0,,2,Bajo,100.0,69,2
621,Holly,659629171,0.0,9/10/2025,1,0.0,0,0,2.0,0,0,,1,Moderado,36.0,9,0
622,Kendre,976976046,3.0,9/10/2025,1,1.0,1,1,3.0,2,1,,2,Moderado,100.0,90,2
624,Jackquelin,184534347,3.0,9/10/2025,1,1.0,1,1,,0,0,,1,Moderado,86.0,95,2
628,Gretal,538460366,3.0,9/10/2025,1,1.0,0,1,1.0,3,1,,0,Bajo,70.0,89,2
637,Marianna,989280278,0.0,9/10/2025,1,1.0,0,1,0.0,0,1,,1,Moderado,21.0,68,2
639,Martita,335872174,3.0,9/10/2025,1,0.0,1,0,1.0,3,0,,2,Bajo,82.0,49,1
640,Anett,683395603,3.0,9/10/2025,1,0.0,0,0,2.0,2,0,,1,Alto,84.0,34,1
641,Daphene,134140248,2.0,9/10/2025,1,1.0,0,0,0.0,3,0,,2,Bajo,58.0,64,2
646,Karlen,448954730,0.0,9/10/2025,1,1.0,0,1,2.0,0,1,,2,Alto,37.0,64,2
647,Elnore,361544540,2.0,9/10/2025,1,0.0,0,0,0.0,3,1,,0,Bajo,56.0,28,1
648,Gennifer,411513921,3.0,9/10/2025,1,0.0,1,0,1.0,0,1,,1,Moderado,65.0,35,1
649,Babbette,342381294,2.0,9/10/2025,1,0.0,0,0,2.0,2,0,,1,Alto,59.0,26,1
650,Shirline,165553241,0.0,9/10/2025,1,0.0,1,1,0.0,0,1,,0,Bajo,19.0,42,1
662,Gerrie,349624069,3.0,9/10/2025,1,1.0,1,0,3.0,3,1,,0,Bajo,93.0,55,2
663,Charissa,146498248,3.0,9/10/2025,1,1.0,0,0,0.0,1,0,,0,Moderado,78.0,58,2
666,Malissa,825290592,0.0,9/10/2025,1,0.0,1,1,3.0,2,1,,1,Bajo,32.0,42,1
675,Gerti,114009944,0.0,9/10/2025,1,1.0,1,1,1.0,1,1,,0,Moderado,35.0,67,2
678,Aurilia,521387362,3.0,9/10/2025,1,0.0,0,1,,0,1,,0,Bajo,62.0,58,2
693,Lorena,535717546,0.0,9/10/2025,1,1.0,1,1,0.0,0,0,,2,Alto,35.0,78,2
694,Marielle,701669196,0.0,9/10/2025,1,1.0,1,1,0.0,0,0,,2,Alto,39.0,78,2
704,Sheela,448118633,3.0,9/10/2025,1,0.0,1,1,,2,0,,1,Alto,97.0,75,2
718,Florance,724982319,3.0,9/10/2025,1,1.0,1,0,3.0,3,0,,2,Moderado,74.0,66,2
720,Joice,259441466,0.0,9/10/2025,1,1.0,1,0,2.0,0,0,,2,Bajo,24.0,41,1
721,Grier,635928711,3.0,9/10/2025,1,1.0,0,0,0.0,3,0,,2,Bajo,84.0,72,2
733,Bethanne,793155508,3.0,9/10/2025,1,0.0,1,1,,0,1,,2,Moderado,68.0,70,2
735,Kirsteni,767838696,3.0,9/10/2025,1,1.0,0,0,3.0,2,1,,0,Moderado,66.0,48,1
741,Nathalia,880551613,3.0,9/10/2025,1,0.0,1,0,3.0,3,1,,0,Bajo,61.0,30,1
742,Atlanta,350893789,3.0,9/10/2025,1,0.0,1,1,0.0,3,1,,0,Bajo,93.0,70,2
745,Manda,731098720,,9/10/2025,1,1.0,1,1,1.0,3,0,,1,Alto,,81,2
749,Ailis,926583696,2.0,9/10/2025,1,1.0,0,1,1.0,1,1,,2,Moderado,53.0,83,2
750,Lizette,863108541,1.0,9/10/2025,1,1.0,0,1,2.0,1,1,,2,Bajo,49.0,71,2
751,Mabelle,503022482,0.0,9/10/2025,1,1.0,0,0,2.0,3,1,,2,Alto,32.0,42,1
754,Marissa,236243047,3.0,9/10/2025,1,1.0,1,0,0.0,1,0,,2,Moderado,73.0,70,2
755,Sarina,668060857,0.0,9/10/2025,1,1.0,0,1,3.0,2,1,,2,Bajo,33.0,66,2
762,Dalia,540074234,3.0,9/10/2025,1,1.0,0,1,0.0,2,1,,1,Moderado,82.0,93,2
764,Nananne,805049181,3.0,9/10/2025,1,0.0,1,0,2.0,2,1,,1,Moderado,99.0,35,1
768,Madeleine,234252001,0.0,9/10/2025,1,0.0,0,0,3.0,2,0,,0,Moderado,38.0,6,0
769,Dorisa,729700732,3.0,9/10/2025,1,0.0,0,0,2.0,1,1,,0,Alto,63.0,23,1
777,Almeda,750635789,3.0,9/10/2025,1,1.0,0,1,2.0,3,0,,2,Alto,97.0,95,2
778,Kelli,702044540,3.0,9/10/2025,1,1.0,0,1,1.0,3,0,,1,Moderado,75.0,97,2
781,Verina,271327393,0.0,9/10/2025,1,1.0,0,0,2.0,1,0,,1,Moderado,23.0,36,1
782,Ronica,419049418,,9/10/2025,1,1.0,0,1,0.0,2,1,,0,Bajo,,68,2
793,Gaye,808068467,3.0,9/10/2025,1,0.0,0,0,2.0,1,0,,0,Bajo,63.0,26,1
794,Suzanna,199518967,0.0,9/10/2025,1,0.0,0,1,,0,1,,2,Bajo,30.0,46,1
796,Angelique,679620943,1.0,9/10/2025,1,1.0,0,1,3.0,0,1,,2,Bajo,40.0,66,2
797,Lurette,752685508,3.0,9/10/2025,1,1.0,1,1,3.0,1,1,,2,Bajo,66.0,87,2
799,Sharon,874516392,0.0,9/10/2025,1,1.0,0,1,1.0,2,1,,1,Alto,27.0,71,2
800,Marley,107515775,3.0,9/10/2025,1,0.0,0,0,3.0,1,1,,2,Moderado,89.0,28,1
804,Laurel,459236151,3.0,9/10/2025,1,0.0,1,1,1.0,0,0,,2,Alto,61.0,71,2
808,Lusa,676149575,2.0,9/10/2025,1,1.0,1,0,1.0,1,1,,1,Alto,50.0,54,2
810,Ariel,112097032,0.0,9/10/2025,1,1.0,0,0,3.0,1,0,,1,Bajo,21.0,33,1
813,Andeee,230287538,3.0,9/10/2025,1,1.0,1,1,2.0,1,1,,2,Bajo,93.0,90,2
821,Jeannie,219406701,3.0,9/10/2025,1,1.0,0,1,3.0,1,1,,1,Moderado,75.0,80,2
825,Emelyne,827034840,,9/10/2025,1,1.0,1,0,0.0,1,1,,1,Bajo,,44,1
828,Fernanda,298335171,2.0,9/10/2025,1,0.0,0,1,2.0,0,0,,0,Moderado,56.0,46,1
830,Larisa,427876755,2.0,9/10/2025,1,1.0,1,0,2.0,2,0,,2,Moderado,59.0,58,2
839,Cristine,623983169,3.0,9/10/2025,1,1.0,1,0,2.0,1,1,,0,Bajo,78.0,52,2
843,Lillian,679176553,3.0,9/10/2025,1,0.0,0,0,3.0,1,1,,2,Moderado,73.0,28,1
847,Belia,664519626,0.0,9/10/2025,1,1.0,1,1,3.0,0,0,,0,Bajo,34.0,60,2
851,Marylee,316433611,3.0,9/10/2025,1,0.0,1,1,1.0,2,1,,0,Alto,70.0,65,2
852,Kare,498458415,3.0,9/10/2025,1,0.0,0,0,2.0,2,1,,2,Bajo,83.0,34,1
858,Rici,249253621,3.0,9/10/2025,1,1.0,0,0,2.0,1,1,,0,Alto,100.0,48,1
860,Zorana,749634397,0.0,9/10/2025,1,0.0,0,1,0.0,1,0,,2,Bajo,26.0,51,2
861,Jaclyn,738263594,0.0,9/10/2025,1,0.0,1,0,0.0,0,1,,0,Bajo,24.0,12,0
862,Ophelie,997409977,1.0,9/10/2025,1,,1,1,,2,1,,0,Moderado,41.0,52,2
863,Kimmy,289671195,0.0,9/10/2025,1,0.0,0,0,1.0,2,1,,0,Bajo,37.0,11,0
865,Bathsheba,568774014,0.0,9/10/2025,1,0.0,0,1,1.0,0,0,,2,Alto,26.0,47,1
871,Joycelin,567618424,0.0,9/10/2025,1,0.0,0,0,2.0,2,0,,2,Alto,34.0,17,0
874,Audrey,549016137,3.0,9/10/2025,1,1.0,0,1,0.0,2,1,,2,Alto,68.0,96,2
875,Daffie,289734352,0.0,9/10/2025,1,0.0,1,0,,3,1,,0,Alto,34.0,20,1
878,Jessa,859999891,3.0,9/10/2025,1,0.0,1,0,3.0,3,1,,2,Moderado,82.0,38,1
887,Florrie,196670282,3.0,9/10/2025,1,0.0,0,0,1.0,2,0,,2,Bajo,82.0,42,1
888,Katie,672122299,0.0,9/10/2025,1,1.0,1,0,2.0,2,1,,1,Bajo,29.0,40,1
889,Norri,935911845,0.0,9/10/2025,1,1.0,1,1,0.0,1,1,,0,Moderado,25.0,69,2
892,Candie,153534898,,9/10/2025,1,0.0,1,1,3.0,3,1,,1,Moderado,,45,1
